ticker,signal_type,direction,signal_date,entry_date,entry_price,stop_price,target_price,outcome,exit_date,exit_price,days_held,r_multiple
HWM,RSI 약세 다이버전스,bearish,2025-01-17 17:00:00-05:00,2025-01-21 01:00:00-05:00,125.92,127.81,122.14,stop,2025-01-21 01:00:00-05:00,127.81,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-01-21 17:00:00-05:00,2025-01-22 01:00:00-05:00,127.75,129.67,123.92,target,2025-01-22 17:00:00-05:00,123.92,4,2.0
HWM,RSI 약세 다이버전스,bearish,2025-01-22 05:00:00-05:00,2025-01-22 09:00:00-05:00,128.0,129.92,124.16,target,2025-01-22 17:00:00-05:00,124.16,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-01-23 05:00:00-05:00,2025-01-23 09:00:00-05:00,129.0,130.93,125.13,target,2025-01-27 01:00:00-05:00,125.13,8,2.0
HWM,RSI 약세 다이버전스,bearish,2025-01-23 13:00:00-05:00,2025-01-23 17:00:00-05:00,129.05,130.99,125.18,target,2025-01-27 01:00:00-05:00,125.18,6,2.0
HWM,RSI 약세 다이버전스,bearish,2025-02-06 17:00:00-05:00,2025-02-07 01:00:00-05:00,130.0,131.95,126.1,stop,2025-02-07 05:00:00-05:00,131.95,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-02-07 05:00:00-05:00,2025-02-07 09:00:00-05:00,129.66,131.6,125.77,stop,2025-02-10 05:00:00-05:00,131.6,4,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-02-14 09:00:00-05:00,2025-02-14 13:00:00-05:00,133.14,135.14,129.15,target,2025-02-14 13:00:00-05:00,129.15,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-02-18 01:00:00-05:00,2025-02-18 05:00:00-05:00,134.58,136.6,130.54,stop,2025-02-18 05:00:00-05:00,136.6,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-02-18 09:00:00-05:00,2025-02-18 13:00:00-05:00,136.34,138.38,132.24,stop,2025-02-19 05:00:00-05:00,138.38,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-02-19 17:00:00-05:00,2025-02-20 01:00:00-05:00,140.58,142.69,136.36,target,2025-02-20 09:00:00-05:00,136.36,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-03-03 05:00:00-05:00,2025-03-03 09:00:00-05:00,138.46,140.54,134.31,target,2025-03-03 09:00:00-05:00,134.31,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-03-18 18:00:00-04:00,2025-03-19 02:00:00-04:00,131.86,133.84,127.9,target,2025-03-19 02:00:00-04:00,127.9,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-04-23 14:00:00-04:00,2025-04-23 18:00:00-04:00,131.0,132.96,127.07,stop,2025-04-23 18:00:00-04:00,132.96,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-04-24 06:00:00-04:00,2025-04-24 10:00:00-04:00,132.36,134.35,128.39,stop,2025-04-24 14:00:00-04:00,134.35,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-04-25 06:00:00-04:00,2025-04-25 10:00:00-04:00,134.74,136.76,130.69,stop,2025-04-25 14:00:00-04:00,136.76,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-04-25 18:00:00-04:00,2025-04-28 02:00:00-04:00,135.53,137.56,131.46,stop,2025-04-28 06:00:00-04:00,137.56,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-04-29 14:00:00-04:00,2025-04-29 18:00:00-04:00,138.7,140.78,134.54,target,2025-04-30 06:00:00-04:00,134.54,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-04-30 14:00:00-04:00,2025-04-30 18:00:00-04:00,139.0,141.08,134.83,target,2025-04-30 18:00:00-04:00,134.83,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-05-02 06:00:00-04:00,2025-05-02 10:00:00-04:00,153.66,155.96,149.05,stop,2025-05-05 06:00:00-04:00,155.96,4,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-02 18:00:00-04:00,2025-05-05 02:00:00-04:00,153.91,156.22,149.29,stop,2025-05-05 06:00:00-04:00,156.22,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-05 10:00:00-04:00,2025-05-05 14:00:00-04:00,155.4,157.73,150.74,target,2025-05-06 06:00:00-04:00,150.74,3,2.0
HWM,RSI 약세 다이버전스,bearish,2025-05-05 18:00:00-04:00,2025-05-06 02:00:00-04:00,154.34,156.66,149.71,stop,2025-05-06 10:00:00-04:00,156.66,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-06 06:00:00-04:00,2025-05-06 10:00:00-04:00,155.58,157.91,150.91,stop,2025-05-07 02:00:00-04:00,157.91,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-08 02:00:00-04:00,2025-05-08 06:00:00-04:00,158.85,161.23,154.08,stop,2025-05-08 06:00:00-04:00,161.23,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-09 18:00:00-04:00,2025-05-12 02:00:00-04:00,157.4,159.76,152.68,stop,2025-05-12 02:00:00-04:00,159.76,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-05-16 10:00:00-04:00,2025-05-16 14:00:00-04:00,162.47,164.91,157.6,target,2025-05-19 02:00:00-04:00,157.6,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-05-19 14:00:00-04:00,2025-05-19 18:00:00-04:00,166.38,168.88,161.39,target,2025-05-20 14:00:00-04:00,161.39,4,2.0
HWM,RSI 약세 다이버전스,bearish,2025-05-23 14:00:00-04:00,2025-05-23 18:00:00-04:00,163.24,165.69,158.34,stop,2025-05-23 18:00:00-04:00,165.69,0,-1.0
